ticker,model,var_level,n_obs,breaches,breach_rate,expected_rate
AAPL,GBM,0.95,2505,139,0.055489021956087826,0.050000000000000044
AAPL,GBM,0.99,2505,56,0.022355289421157686,0.010000000000000009
JPM,GBM,0.95,2505,113,0.045109780439121755,0.050000000000000044
JPM,GBM,0.99,2505,60,0.023952095808383235,0.010000000000000009
MSFT,GBM,0.95,2505,139,0.055489021956087826,0.050000000000000044
MSFT,GBM,0.99,2505,57,0.022754491017964073,0.010000000000000009
SPY,GBM,0.95,2505,136,0.05429141716566866,0.050000000000000044
SPY,GBM,0.99,2505,73,0.029141716566866267,0.010000000000000009
TSLA,GBM,0.95,2505,118,0.047105788423153695,0.050000000000000044
TSLA,GBM,0.99,2505,48,0.019161676646706587,0.010000000000000009
XOM,GBM,0.95,2505,124,0.04950099800399202,0.050000000000000044
XOM,GBM,0.99,2505,44,0.017564870259481037,0.010000000000000009
