ticker,model,var_level,n_obs,breaches,breach_rate,expected_rate
AAPL,JumpDiffusion,0.95,2505,164,0.0654690618762475,0.050000000000000044
AAPL,JumpDiffusion,0.99,2505,60,0.023952095808383235,0.010000000000000009
JPM,JumpDiffusion,0.95,2505,141,0.0562874251497006,0.050000000000000044
JPM,JumpDiffusion,0.99,2505,60,0.023952095808383235,0.010000000000000009
MSFT,JumpDiffusion,0.95,2505,155,0.06187624750499002,0.050000000000000044
MSFT,JumpDiffusion,0.99,2505,62,0.02475049900199601,0.010000000000000009
SPY,JumpDiffusion,0.95,2505,153,0.06107784431137724,0.050000000000000044
SPY,JumpDiffusion,0.99,2505,65,0.02594810379241517,0.010000000000000009
TSLA,JumpDiffusion,0.95,2505,143,0.057085828343313376,0.050000000000000044
TSLA,JumpDiffusion,0.99,2505,51,0.02035928143712575,0.010000000000000009
XOM,JumpDiffusion,0.95,2505,146,0.058283433133732535,0.050000000000000044
XOM,JumpDiffusion,0.99,2505,42,0.016766467065868262,0.010000000000000009
