ticker,model,var_level,n_obs,breaches,breach_rate,expected_rate
AAPL,RegimeSwitchVol,0.95,2505,130,0.05189620758483034,0.050000000000000044
AAPL,RegimeSwitchVol,0.99,2505,55,0.021956087824351298,0.010000000000000009
JPM,RegimeSwitchVol,0.95,2505,120,0.04790419161676647,0.050000000000000044
JPM,RegimeSwitchVol,0.99,2505,57,0.022754491017964073,0.010000000000000009
MSFT,RegimeSwitchVol,0.95,2505,134,0.053493013972055886,0.050000000000000044
MSFT,RegimeSwitchVol,0.99,2505,57,0.022754491017964073,0.010000000000000009
SPY,RegimeSwitchVol,0.95,2505,145,0.05788423153692615,0.050000000000000044
SPY,RegimeSwitchVol,0.99,2505,64,0.02554890219560878,0.010000000000000009
TSLA,RegimeSwitchVol,0.95,2505,126,0.05029940119760479,0.050000000000000044
TSLA,RegimeSwitchVol,0.99,2505,51,0.02035928143712575,0.010000000000000009
XOM,RegimeSwitchVol,0.95,2505,134,0.053493013972055886,0.050000000000000044
XOM,RegimeSwitchVol,0.99,2505,44,0.017564870259481037,0.010000000000000009
